Hostname,Customer,Application,Eth0,Eth1,Env,Release,VIP,CPU,Mem,PDC,DAR 
csu284.cs.kadaster.nl,bw,pb1,10.91.8.24,10.253.120.244,prod,SOL_3_1_2_0,/sapbwp00,4,48.25 GB,SAP-BW (Management info) ,,cs.kadaster.nl,213,Amsterdam
csu285.cs.kadaster.nl,srm,ds5,10.91.8.25,10.253.121.87,prod,SOL_3_1_2_0,sapsrd25/sapsrd27,2,15.70 GB,SAP-SRM (Inkoop) ,,cs.kadaster.nl,147,Almere
csu288.cs.kadaster.nl,pdok,pdok-eto-gsnlvector,10.91.8.28,10.253.123.149,prod,JAP_4_0_11_0,10.91.119.185,2,3.87 GB,PDOK,,cs.kadaster.nl,28,Amsterdam
csu289.cs.kadaster.nl,wf_geo,px1,10.91.8.29,10.253.120.44,prod,SOL_3_1_2_0,sapwgp57/sapwgp56,2,15.70 GB,SAP-basis&interfaces,,cs.kadaster.nl,147,Almere
csu290.cs.kadaster.nl,woz,woz-ot-ato,10.91.8.30,10.253.122.171,prod,PLP_OT_1_0_9_0,10.91.119.89,2,3.86 GB,LV WOZ ATO,,cs.kadaster.nl,31,Amsterdam
csu291.cs.kadaster.nl,wf_rz,dw1,10.91.8.31,10.253.121.50,prod,SOL_3_1_2_0,sapwrd91/sapwrd90,2,15.70 GB,SAP-basis&interfaces,,cs.kadaster.nl,147,Almere
csu293.cs.kadaster.nl,roo,roo-val,10.91.8.33,10.253.122.111,prod,PLP_ROO_1_0_12_0,10.91.119.225,4,7.80 GB,RO-online,roo-plp-val-dar:2.2.6.004,cs.kadaster.nl,28,Almere
csu294.cs.kadaster.nl,dms,qe1,10.91.8.34,10.253.122.10,prod,SOL_3_1_2_0,sapecq51/sapecq50,2,15.58 GB,Generieke Archief Oplossing,,cs.kadaster.nl,147,Amsterdam
csu296.cs.kadaster.nl,pdok,pdok-eto-dm,10.91.8.36,10.253.123.88,prod,JAP_4_0_11_0,10.91.119.94,4,3.87 GB,PDOK,,cs.kadaster.nl,28,Amsterdam
csu298.cs.kadaster.nl,dms,pe1,10.91.8.38,10.253.121.132,prod,SOL_3_1_2_0,sapecp11/sapecp10,2,31.49 GB,Generieke Archief Oplossing,,cs.kadaster.nl,179,Amsterdam
csu299.cs.kadaster.nl,ecc,ir1,10.91.8.39,10.253.121.102,prod,SOL_3_1_2_0,sapr3i03/sapr3i02,2,15.70 GB,SAP-ECC-FICO (Financien) ,,cs.kadaster.nl,147,Almere
csu300.cs.kadaster.nl,bw,qb1,10.91.8.40,10.253.121.67,prod,SOL_3_1_2_0,sapbwq34/sapbwq30,2,31.49 GB,SAP-BW (Management info) ,,cs.kadaster.nl,179,Amsterdam
csu303.cs.kadaster.nl,kadnl,kadnl-edit,10.91.8.43,10.253.122.241,prod,JAP_4_0_11_0,10.91.119.221,2,3.87 GB,Kadaster.nl,kadnl-dar:9.20.3.27,cs.kadaster.nl,28,Almere
csu304.cs.kadaster.nl,woz,px4,10.91.8.44,10.253.123.95,prod,SOL_3_1_2_0,sapxip24,2,15.70 GB,LV WOZ,,cs.kadaster.nl,147,Amsterdam
csu306.cs.kadaster.nl,sld,pl1,10.91.8.46,10.253.123.60,prod,SOL_3_1_2_0,sapslp62/sapslp60,2,15.70 GB,SAP-basis&interfaces,,cs.kadaster.nl,147,Amsterdam
csu307.cs.kadaster.nl,dba,roodb,10.91.8.47,10.253.123.10,prod,HDP_1_1_2_0,10.91.119.92,8,31.43 GB,RO-online,,cs.kadaster.nl,388,Almere
csu308.cs.kadaster.nl,bw,pb1,10.91.8.48,10.253.120.243,prod,SOL_3_1_2_0,/sapbwp04,4,48.25 GB,SAP-BW (Management info) ,,cs.kadaster.nl,213,Amsterdam
csu311.cs.kadaster.nl,wf_geo,dx1,10.91.8.51,10.253.121.64,prod,SOL_3_1_2_0,sapwgd53/sapwgd52,2,15.70 GB,SAP-basis&interfaces,,cs.kadaster.nl,147,Almere
csu313.cs.kadaster.nl,kadnl,kadnl-nfs,10.91.8.53,10.253.123.175,prod,PLP_BEHEER_2_0_21_0,,1,1.96 GB,Kadaster.nl,,cs.kadaster.nl,38,Almere
csu315.cs.kadaster.nl,jap,jap-platform-4,10.91.8.55,10.253.120.204,prod,JAP_4_0_11_0,10.91.119.235,1,1.96 GB,PLP beheertooling,java-example-app-dar:2.0.0.8,cs.kadaster.nl,28,Almere
csu316.cs.kadaster.nl,mdm,qm1,10.91.8.56,10.253.120.189,prod,SOL_3_1_2_0,/sapmdq00,2,7.81 GB,Master Data Management,,cs.kadaster.nl,131,Amsterdam
csu317.cs.kadaster.nl,roo,roo-web-pilot,10.91.8.57,10.253.122.119,prod,PLP_ROO_1_0_12_0,10.91.119.249,2,3.86 GB,RO-Online Pilot,roo-plp-web-pilot-dar:2.2.6.004,cs.kadaster.nl,28,Almere
csu318.cs.kadaster.nl,cua,pz1,10.91.8.58,10.253.123.76,prod,SOL_3_1_2_0,sapcup51/sapcup50,2,15.70 GB,SAP-basis&interfaces,,cs.kadaster.nl,147,Amsterdam
